,wb_subclass_label,wb_cluster_label,x,y
102217466131695527957809437924044123966,279_Astro,3933_Astro,-63110.54398086299,40427.62401058599
102221251228083758509086108896798067191,111_HY/TH Gnb3,1566_HY/TH Gnb3,-63419.61039142921,39539.10817309441
102241380329145078048573739041622171810,279_Astro,3950_Astro,-59430.65749958919,39835.68671046679
102246505706785292653405532063046288117,138_TH Prkcd_Grin2c,1998_TH Prkcd_Grin2c,-60159.11426507935,39175.08324964624
10226681910715062985260228696552999085,276_Oligo,3914_Oligo,-60001.546997387646,39561.66953562562
102279613901057965631817719178027248695,285_Endo,4016_Endo,-62630.31204165467,40204.380637598086
102284510266409736417711327854192273547,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-59432.109853423404,39447.158560908254
102293441009113241966551343807530356014,276_Oligo,3914_Oligo,-61923.87942225733,38698.99692495929
102312085436342245588134824221351933313,128_TH MH_Tac2,1839_TH MH_Tac2,-61192.61540909376,40581.38831436531
10231748638309253766370760352709716877,279_Astro,3933_Astro,-60211.91583609928,39120.31484738659
102319218564032190184962574827740158919,276_Oligo,3914_Oligo,-61919.439688154394,39351.739572465376
102325569391522901042972414158483526468,128_TH MH_Tac2,1843_TH MH_Tac2,-60987.451374273405,40545.88237958276
102356091486104052120668247951322010090,138_TH Prkcd_Grin2c,1998_TH Prkcd_Grin2c,-61414.099050760626,39358.230520935664
102364217170181993077922424297503227243,279_Astro,3949_Astro,-60420.459131558004,40409.4589070193
10237239258858297839853396433644219948,276_Oligo,3914_Oligo,-59154.8734786828,39954.69317611445
102380438610195654847679122507268221129,276_Oligo,3913_Oligo,-60545.05776708049,39319.70282442635
102393151729143835802829936170915912809,279_Astro,3949_Astro,-60389.445810026504,38723.537166205075
102407351085767667236472131412504553596,276_Oligo,3906_Oligo,-59484.669019612695,40715.73406335352
102410946286329536054279205673509340142,276_Oligo,3914_Oligo,-62732.944149733674,40242.4382041631
10241669903150908745140562820275218075,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-60580.55874786981,39198.20132557866
102433223852816655159655101832386943614,276_Oligo,3913_Oligo,-62222.58919994657,40683.56172240917
102463796746577924146815044230467648231,128_TH MH_Tac2,1840_TH MH_Tac2,-61212.61070241002,40474.94620138679
102466731311994673887954944146440697337,138_TH Prkcd_Grin2c,2013_TH Prkcd_Grin2c,-60166.0802162825,39375.172734946325
102508547721801825026630346361689038013,276_Oligo,3915_Oligo,-59664.55847612993,40780.004200286865
102530170585127613571784943344592050099,285_Endo,4012_Endo,-58848.29961849667,40480.39591923408
102546136955659754637822413780153867483,137_TH_Rxfp1_Epb4,1965_TH_Rxfp1_Epb4,-61040.83757818793,38756.931721505185
102555884812543259730029270462362652912,279_Astro,3933_Astro,-63267.532376277086,40117.47550114733
102563182898013823687851836055469141519,285_Endo,4012_Endo,-59207.43269791581,39942.72374754158
102578047152721228350854541230730603453,276_Oligo,3915_Oligo,-61967.85190931961,40507.888343088525
102584831067610962882774736889811023084,254_MY Ccdc172,3767_MY Ccdc172,-61547.87789347687,40275.31714855957
10260043363817597188745582629024046449,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-61967.40936565362,39018.902011890474
102602866191266641101226998074022289153,282_Micro-PVM,3978_Micro-PVM,-62508.40763607933,39526.71371811187
10261787984801328385932777797007206305,276_Oligo,3915_Oligo,-59189.60804587714,39303.52395559237
102622912301023497541296179853644401171,137_TH_Rxfp1_Epb4,1965_TH_Rxfp1_Epb4,-61158.56503676575,38863.58530602856
102673588977346500729557272357357396938,279_Astro,3931_Astro,-61459.74527962886,39477.73520867256
102682526973963919648106218871506157153,128_TH MH_Tac2,1840_TH MH_Tac2,-60897.13014964503,40498.237062392225
102719923829217263836947594108024532540,276_Oligo,3914_Oligo,-61643.52682869244,38946.97965706503
102728155751672506571407149546879838163,279_Astro,3932_Astro,-60340.41396098942,39456.4870200992
102731283904851805411591417579686458180,138_TH Prkcd_Grin2c,2009_TH Prkcd_Grin2c,-61193.40161759191,39148.37273483446
102749730823740379286806141162365887714,285_Endo,4016_Endo,-59032.70654526401,40547.85845982164
102767404340516676013148366757439158691,279_Astro,3949_Astro,-59811.199107024106,39159.22754818339
102784065338952674228019115240476042465,275_OPC,3893_OPC,-60977.28600256513,39453.498638648125
102798601762149120917984190236170295976,128_TH MH_Tac2,1839_TH MH_Tac2,-60908.43709973393,40598.91042078534
102800661568692173697028651608092122094,279_Astro,3933_Astro,-59802.714268310934,39157.83688364923
102805029049908702903346999361448778865,276_Oligo,3915_Oligo,-62983.09479687093,39559.72591783321
102835934840535379275523453511547142959,275_OPC,3893_OPC,-60700.1631067338,39126.718299759224
102836193606351124669588505695908375785,279_Astro,3933_Astro,-61031.61244987256,39543.76178965886
102850026233928913654517905790520203547,138_TH Prkcd_Grin2c,2000_TH Prkcd_Grin2c,-62627.42208376533,40670.222667582784
10286172952368138215354197271170817164,282_Micro-PVM,3982_Micro-PVM,-61868.31986969256,38933.89595079815
102889412839310623336554029956460567761,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-59569.374088858836,39970.09120938296
102889840718756265938450357317766197356,279_Astro,3949_Astro,-60827.07820031796,38617.20463591557
102915479051256051203580726230354452561,279_Astro,3933_Astro,-62186.68251423283,40281.822501642084
102923390017713356911706531289233469203,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-58925.74241348147,39838.777993153875
102944278026289418589943049512632275172,279_Astro,3949_Astro,-60396.289823510546,40280.36320964472
102966802270877899396709882821295413950,279_Astro,3932_Astro,-62241.089336490135,40218.93115519241
102969488375734954640709895240824077512,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-60057.53815958596,39513.04294178039
102984702084511487196203955400532412002,279_Astro,3949_Astro,-62038.49606414319,40368.2693301579
102989206721296284171893326965816047323,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-60446.80199383666,39283.13115211336
103002691805544835863012331485295863922,137_TH_Rxfp1_Epb4,1961_TH_Rxfp1_Epb4,-61179.76120319561,39390.61308289297
103004486853744040686297529535833646005,285_Endo,4017_Endo,-62288.197933360985,39046.205525233374
103028675822569430593491346145457352181,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62317.63524463888,39298.206624127124
103064012844655518406051933445074577557,284_SMC-Peri,4002_SMC-Peri,-59197.242528208844,39956.946340034665
103070112704906612640251863118209236699,276_Oligo,3913_Oligo,-60535.24756309449,38954.06814197025
103070854947490303862262981563407166765,285_Endo,4017_Endo,-60406.47334842598,39611.24857559061
103087948900906782620660476343448666493,275_OPC,3896_OPC,-61549.68747673744,40524.478532164256
103129526758172854089961156321692807169,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-60388.56667585683,39742.34294215798
103131075132721947003834897869878057248,279_Astro,3932_Astro,-62150.732609958475,39210.47763949778
103135716833715328292315884400986910106,285_Endo,4017_Endo,-61148.53480913952,39503.89851538704
10314542486072043658605004170973485011,279_Astro,3932_Astro,-63379.72397544042,40125.628462425826
103162325939076366106631712129726284627,138_TH Prkcd_Grin2c,2005_TH Prkcd_Grin2c,-60897.81049482162,40090.70908220825
103189368993322946361693488479632353527,285_Endo,4017_Endo,-62137.399696523265,40198.71805103385
103221571302337175929119379471929381550,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-63119.299107625935,39702.658604315395
103252431846472979424226387385790044314,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-60555.187685653305,39143.82086908171
103266530064538078881610814562437215015,275_OPC,3893_OPC,-62817.857417774205,38901.80237442098
103281939167326028079560296624256648266,276_Oligo,3914_Oligo,-60047.60483112122,40722.09710817684
103282104489783957863904056081608796894,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-62951.40262312124,39430.6956102972
10328302285984245783048785300486950912,279_Astro,3931_Astro,-60933.811690217415,40453.33251203019
103285101815703314303678328843727640700,279_Astro,3949_Astro,-59907.2831913439,39337.10867651616
103289982082077698606939208529088748333,276_Oligo,3915_Oligo,-59985.7885862521,40721.58961577961
1032962048445652882193798939391058171,138_TH Prkcd_Grin2c,2026_TH Prkcd_Grin2c,-62986.64290518488,40371.14242126953
103307096906991550098169171259501285614,276_Oligo,3915_Oligo,-63412.91323307587,40247.62133990098
103311490624536229528928805525821190390,138_TH Prkcd_Grin2c,1990_TH Prkcd_Grin2c,-60086.22592317945,39745.44150067967
103312364292763065449436674103876645057,279_Astro,3933_Astro,-62116.937131461455,39463.175325241886
103339818831190760391187661941620201605,276_Oligo,3914_Oligo,-62125.48793242381,38945.33683736447
103341356773993911517356255951704710528,128_TH MH_Tac2,1848_TH MH_Tac2,-61299.44472494285,40735.68177529394
103349477881052122598697810824294591727,138_TH Prkcd_Grin2c,2026_TH Prkcd_Grin2c,-60113.168099610135,40073.23913979204
103355418638919768780006172284390152190,138_TH Prkcd_Grin2c,2026_TH Prkcd_Grin2c,-61970.77219922234,39708.21077980701
103407271020295865616981383624534434265,111_HY/TH Gnb3,1566_HY/TH Gnb3,-58779.24648489736,39398.410559011994
103432121016539836445471023568257228954,276_Oligo,3914_Oligo,-61990.29203765362,39841.62776017341
10343246030850122281585070581912745999,111_HY/TH Gnb3,1566_HY/TH Gnb3,-58825.605303858094,40155.62954119143
103434466566417984933376635523521070635,134_TH PVT_Ntrk1,1937_TH PVT_Ntrk1,-61000.26243367676,39284.896549160825
103460199075797363350295322033736763861,276_Oligo,3915_Oligo,-63240.89515717069,39373.913929635
10348453368941275388797497506157861877,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-59961.72237467694,40452.03797494519
103488154905164154288875881903988836085,279_Astro,3933_Astro,-61608.37933551101,40424.51217116796
103492659928839043358939736003649597695,137_TH_Rxfp1_Epb4,1965_TH_Rxfp1_Epb4,-60972.217504261025,38848.39466244046
103502179647914347272521312387062433803,278_Ependymal,3925_Ependymal,-61104.25551524416,38497.82962819351
103519572833020029251549920591061693477,111_HY/TH Gnb3,1564_HY/TH Gnb3,-63323.492526524205,39882.925635509346
103524651976837315753248137411897455098,284_SMC-Peri,4006_SMC-Peri,-60764.08124930911,39314.29869120306
103533001481987905726074604988512803397,111_HY/TH Gnb3,1566_HY/TH Gnb3,-63213.30710079869,39208.06588019023
103542894575816286728708052881091342590,276_Oligo,3914_Oligo,-60340.72206371023,40601.891744860186
103550160077042757605824143085105823486,138_TH Prkcd_Grin2c,2003_TH Prkcd_Grin2c,-60342.85359781601,40546.98760640983
103552903220660439708612070215367400896,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-61497.16962290302,38786.00266158728
103564084507920580128213494929659908568,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62188.633110411916,40402.01271850239
103565579697862499353962459955612640457,138_TH Prkcd_Grin2c,2014_TH Prkcd_Grin2c,-60478.38312558388,39388.15496528695
103591378627749297373043890147438028601,276_Oligo,3915_Oligo,-59497.7255391459,39379.01273588569
103591711103045271032431642245973572287,138_TH Prkcd_Grin2c,2013_TH Prkcd_Grin2c,-60537.9312832982,39014.76123826088
103612107282750112209501118223548728994,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-59344.69759896679,40195.123735848894
103620403059829345642325631565625170919,276_Oligo,3913_Oligo,-58860.75783829852,39365.42336743943
103627478544258236402435948154037740156,285_Endo,4016_Endo,-59757.53971426644,38908.62741074236
103661837856993244500634561905004893332,279_Astro,3949_Astro,-62665.025681538944,39611.16405689791
103682771882200280609622169951763081473,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62665.373085805564,40219.67296962933
103685409609638412846403573302492666876,279_Astro,3949_Astro,-60149.71518581029,39378.82163015284
103698165548134646423400055573382933514,279_Astro,3964_Astro,-59846.81910709832,39567.64939399505
103715961619454046279469519813058118759,279_Astro,3949_Astro,-60251.56894227167,40436.434010658406
103725980456259731143106934749258310306,282_Micro-PVM,3982_Micro-PVM,-63090.50632899063,39246.19382979612
103763711800112993449344949826994355181,284_SMC-Peri,4003_SMC-Peri,-61181.94891920635,39263.8220032663
103770302999974616862588665792071547867,275_OPC,3894_OPC,-59715.16125061215,39597.24637341963
